"from","to","weight"
"Angèle (soeur) : ","Dubuche (Mme). Boulangère à Plassans : ",1
"Angèle (soeur) : ","Dubuche (Louis). Fils de la précédente. Camarade de Claude Lantier et de Pierre Sandoz. Élève architecte : ",2
"Angèle (soeur) : ","Galissard (Mlle). Fille d'un mercier de Plassans : ",2
"Angèle (soeur) : ","Hermeline. Elève de rhétorique au collège de Plassans : ",2
"Angèle (soeur) : ","Lalubie. Professeur de sixième au collège de Plassans : ",2
"Angèle (soeur) : ","Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ",2
"Angèle (soeur) : ","Pifard. Censeur du collège de Plassans. — : ",2
"Angèle (soeur) : ","Pouillaud. Condisciple de Claude Lantier au collège de Plassans : ",2
"Angèle (soeur) : ","Rhadamante. Surnom d'un professeur du collège de Plassans : ",2
"Angèle (soeur) : ","Sandoz. Père de Pierre Sandoz : ",1
"Angèle (soeur) : ","Sandoz (Mme). Mère de Pierre Sandoz : ",1
"Angèle (soeur) : ","Sandoz (Pierre). Ecrivain. Ami d'enfance de Claude Lantier : ",2
"Angèle (soeur) : ","Tu-m'as-trompé-Adèle. Surnom d'un professeur de physique du collège de Plassans : ",2
"Angèle (soeur) : ","Chantecaille. Professeur au collège de Plassans : ",1
"Angèle (soeur) : ","Mimi-la-Mort, dit Squelette-Externe. Un élève du collège de Plassans : ",1
"Angèle (soeur) : ","Paraboulomenos. Surnom d'un marmiton du collège de Plassans : ",1
"Angèle (soeur) : ","PARALLELUCA. Surnom d'une laveuse d'assiettes du collège de Plassans : ",1
"Angèle (soeur) : ","Spontini. Répétiteur du collège de Plassans : ",1
"*Balzac (Honoré de). Écrivain français: ","*Courbet (Gustave). Peintre français : ",2
"*Balzac (Honoré de). Écrivain français: ","*Delacroix (Eugène). Peintre français : ",2
"*Balzac (Honoré de). Écrivain français: ","Dubuche (Louis). Fils de la précédente. Camarade de Claude Lantier et de Pierre Sandoz. Élève architecte : ",2
"*Balzac (Honoré de). Écrivain français: ","*Hugo (Victor). Écrivain français : ",2
"*Balzac (Honoré de). Écrivain français: ","Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ",2
"*Balzac (Honoré de). Écrivain français: ","Sandoz (Pierre). Ecrivain. Ami d'enfance de Claude Lantier : ",2
"*Balzac (Honoré de). Écrivain français: ","Hallegrain (Christine). Fille des précédents. Maîtresse, puis épouse de Claude Lantier : ",1
"Baudequin. Café où se réunissent les peintres : ","Fagerolles (Henri). Fils du précédent. Peintre. Amant d'irma Bécot : ",11
"Baudequin. Café où se réunissent les peintres : ","*Favre (Jules). Homme politique français : ",1
"Baudequin. Café où se réunissent les peintres : ","Gagnière. Ami de Claude Lânder. Peintre : ",13
"Baudequin. Café où se réunissent les peintres : ","Jory (Édouard). Fils du précédent. Critique d'art : ",9
"Baudequin. Café où se réunissent les peintres : ","Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ",13
"Baudequin. Café où se réunissent les peintres : ","Mahoudeau. Sculpteun Ami de Claude Lantier : ",9
"Baudequin. Café où se réunissent les peintres : ","*Rouher (Eugène). Homme politique français : ",1
"Baudequin. Café où se réunissent les peintres : ","Sandoz (Pierre). Ecrivain. Ami d'enfance de Claude Lantier : ",13
"Baudequin. Café où se réunissent les peintres : ","Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ",7
"Baudequin. Café où se réunissent les peintres : ","Sandoz (Mme). Mère de Pierre Sandoz : ",2
"Baudequin. Café où se réunissent les peintres : ","Dubuche (Louis). Fils de la précédente. Camarade de Claude Lantier et de Pierre Sandoz. Élève architecte : ",8
"Baudequin. Café où se réunissent les peintres : ","Hallegrain (Christine). Fille des précédents. Maîtresse, puis épouse de Claude Lantier : ",3
"Baudequin. Café où se réunissent les peintres : ","Dubuche (Régine). Fille des Margaillan. Épouse du précédent : ",3
"Baudequin. Café où se réunissent les peintres : ","Margaillan. Entrepreneur de maçonnerie. Beau-père de Dubuche : ",3
"Baudequin. Café où se réunissent les peintres : ","Margaillan (Mme). Épouse du précédent. Mère de Régine Margaillan : ",2
"Baudequin. Café où se réunissent les peintres : ","*Haydn (Franz). Compositeur autrichien : ",2
"Baudequin. Café où se réunissent les peintres : ","*Mozart (Wolfgang-Amadeus). Compositeur autrichien : ",2
"Baudequin. Café où se réunissent les peintres : ","Sandoz (Henriette). Épouse du précédent : ",3
"Baudequin. Café où se réunissent les peintres : ","*Wagner (Richard). Compositeur allemand : ",1
"Baudequin. Café où se réunissent les peintres : ","Fagerolles (père). Fabricant de zinc d'art : ",1
"Baudequin. Café où se réunissent les peintres : ","Chaîne. Peintre : ",1
"Baudequin. Café où se réunissent les peintres : ","*Beethoven (Ludwig van). Compositeur allemand : ",1
"Baudequin. Café où se réunissent les peintres : ","*Berlioz (Heélor). Compositeur français : ",1
"Baudequin. Café où se réunissent les peintres : ","*Meyerbeer (Giacomo). Compositeur allemand : ",1
"Baudequin. Café où se réunissent les peintres : ","*Michel-Ange (Michel-Ange Buonarroti). Peintre italien : ",1
"Baudequin. Café où se réunissent les peintres : ","*Rossini (Gioacchino). Compositeur italien : ",1
"Baudequin. Café où se réunissent les peintres : ","*Schubert (Franz). Compositeur autrichien : ",1
"Baudequin. Café où se réunissent les peintres : ","*Weber (Carl von). Compositeur allemand ",1
"Baudequin. Café où se réunissent les peintres : ","Jabouille (Mathilde). Épouse, puis veuve du précédent. Maîtresse de Mahou-deau et de Chaîne. Épouse Édouard Jory : ",1
"Baudequin. Café où se réunissent les peintres : ","Hallegrain (Mme). Épouse du précédent : ",1
"Beauchamp (Flore). Modèle : ","Dubuche (Louis). Fils de la précédente. Camarade de Claude Lantier et de Pierre Sandoz. Élève architecte : ",5
"Beauchamp (Flore). Modèle : ","Hallegrain (Christine). Fille des précédents. Maîtresse, puis épouse de Claude Lantier : ",2
"Beauchamp (Flore). Modèle : ","Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ",5
"Beauchamp (Flore). Modèle : ","Piédefer (Zoé). Modèle : ",2
"Beauchamp (Flore). Modèle : ","Sandoz (Pierre). Ecrivain. Ami d'enfance de Claude Lantier : ",5
"Beauchamp (Flore). Modèle : ","Vaquez (Judith). Modèle : ",2
"Beauchamp (Flore). Modèle : ","Fagerolles (Henri). Fils du précédent. Peintre. Amant d'irma Bécot : ",3
"Beauchamp (Flore). Modèle : ","Gagnière. Ami de Claude Lânder. Peintre : ",3
"Beauchamp (Flore). Modèle : ","Jory (Édouard). Fils du précédent. Critique d'art : ",3
"Beauchamp (Flore). Modèle : ","Mahoudeau. Sculpteun Ami de Claude Lantier : ",3
"Beauchamp (Flore). Modèle : ","Mazel. Peintre. Président du jury du Salon : ",3
"Beauchamp (Flore). Modèle : ","Sandoz (Mme). Mère de Pierre Sandoz : ",2
"Beauchamp (Flore). Modèle : ","Dequersonnière. Architecte : - ",1
"Bécot (père). Père d'irma Bécot. Épicier dans la rue Montorgueil : ","Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ",2
"Bécot (père). Père d'irma Bécot. Épicier dans la rue Montorgueil : ","Fagerolles (père). Fabricant de zinc d'art : ",1
"Bécot (père). Père d'irma Bécot. Épicier dans la rue Montorgueil : ","Fagerolles (Henri). Fils du précédent. Peintre. Amant d'irma Bécot : ",2
"Bécot (père). Père d'irma Bécot. Épicier dans la rue Montorgueil : ","Gagnière. Ami de Claude Lânder. Peintre : ",1
"Bécot (père). Père d'irma Bécot. Épicier dans la rue Montorgueil : ","Jory (Édouard). Fils du précédent. Critique d'art : ",2
"Bécot (père). Père d'irma Bécot. Épicier dans la rue Montorgueil : ","Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ",2
"Bécot (père). Père d'irma Bécot. Épicier dans la rue Montorgueil : ","Mahoudeau. Sculpteun Ami de Claude Lantier : ",2
"Bécot (père). Père d'irma Bécot. Épicier dans la rue Montorgueil : ","Sandoz (Pierre). Ecrivain. Ami d'enfance de Claude Lantier : ",2
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Fagerolles (Henri). Fils du précédent. Peintre. Amant d'irma Bécot : ",33
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Gagnière. Ami de Claude Lânder. Peintre : ",21
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Jory (Édouard). Fils du précédent. Critique d'art : ",29
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ",44
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Mahoudeau. Sculpteun Ami de Claude Lantier : ",16
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Sandoz (Mme). Mère de Pierre Sandoz : ",1
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Sandoz (Pierre). Ecrivain. Ami d'enfance de Claude Lantier : ",27
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Dubuche (Louis). Fils de la précédente. Camarade de Claude Lantier et de Pierre Sandoz. Élève architecte : ",12
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Hallegrain (Christine). Fille des précédents. Maîtresse, puis épouse de Claude Lantier : ",20
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Dubuche (Régine). Fille des Margaillan. Épouse du précédent : ",4
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Margaillan. Entrepreneur de maçonnerie. Beau-père de Dubuche : ",4
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Margaillan (Mme). Épouse du précédent. Mère de Régine Margaillan : ",3
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Fagerolles (père). Fabricant de zinc d'art : ",2
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Chaîne. Peintre : ",9
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Bongrand. Grand peintre : ",7
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","*Courbet (Gustave). Peintre français : ",4
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","*Delacroix (Eugène). Peintre français : ",4
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","*Pasdeloup (Concerts) : ",2
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","*Wagner (Richard). Compositeur allemand : ",2
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Chambouvard. Sculpteur célèbre : ",1
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Faucheur (le père). Aubergiste à Bennecourt : ",1
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Faucheur (la mère). Épouse du précédent : ",1
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Jabouille. Herboriste : ",2
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Jabouille (Mathilde). Épouse, puis veuve du précédent. Maîtresse de Mahou-deau et de Chaîne. Épouse Édouard Jory : ",8
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Lantier (Jacques-Louis). Fils de Claude Lantier et de Christine Hallegrain : ",3
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Jory (père). Magistrat à Plassans : ",3
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","*Titien (Tiziano Vecellio, dit le). Peintre italien : ",4
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Vanzade (Mme). Veuve d'un général, dont Christine Hallegrain eSt demoiselle de compagnie : ",2
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Hue. Amateur de tableaux. — : ",1
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Louis. Maître d'hôtel d'Irma Bécot : ",2
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Naudet. Marchand de tableaux : ",3
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Sandoz (Henriette). Épouse du précédent : ",2
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","*Bonaparte (Louis-Napoléon). Empereur sous le nom de Napoléon III : ",1
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Dequersonnière. Architecte : - ",1
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Malgras (le père). Marchand de tableaux : ",1
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Pouillaud. Condisciple de Claude Lantier au collège de Plassans : ",1
"Bécot (Irma). Fille du précédent. Maîtresse de Fa-gerolles : ","Hallegrain (Mme). Épouse du précédent : ",1
"*Beethoven (Ludwig van). Compositeur allemand : ","*Berlioz (Heélor). Compositeur français : ",4
"*Beethoven (Ludwig van). Compositeur allemand : ","Dubuche (Louis). Fils de la précédente. Camarade de Claude Lantier et de Pierre Sandoz. Élève architecte : ",1
"*Beethoven (Ludwig van). Compositeur allemand : ","Gagnière. Ami de Claude Lânder. Peintre : ",5
"*Beethoven (Ludwig van). Compositeur allemand : ","*Haydn (Franz). Compositeur autrichien : ",1
"*Beethoven (Ludwig van). Compositeur allemand : ","Jory (Édouard). Fils du précédent. Critique d'art : ",4
"*Beethoven (Ludwig van). Compositeur allemand : ","Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ",5
"*Beethoven (Ludwig van). Compositeur allemand : ","Mahoudeau. Sculpteun Ami de Claude Lantier : ",4
"*Beethoven (Ludwig van). Compositeur allemand : ","*Meyerbeer (Giacomo). Compositeur allemand : ",4
"*Beethoven (Ludwig van). Compositeur allemand : ","*Michel-Ange (Michel-Ange Buonarroti). Peintre italien : ",2
"*Beethoven (Ludwig van). Compositeur allemand : ","*Mozart (Wolfgang-Amadeus). Compositeur autrichien : ",1
"*Beethoven (Ludwig van). Compositeur allemand : ","*Rossini (Gioacchino). Compositeur italien : ",2
"*Beethoven (Ludwig van). Compositeur allemand : ","Sandoz (Pierre). Ecrivain. Ami d'enfance de Claude Lantier : ",4
"*Beethoven (Ludwig van). Compositeur allemand : ","Sandoz (Henriette). Épouse du précédent : ",4
"*Beethoven (Ludwig van). Compositeur allemand : ","*Schubert (Franz). Compositeur autrichien : ",2
"*Beethoven (Ludwig van). Compositeur allemand : ","*Weber (Carl von). Compositeur allemand ",2
"*Beethoven (Ludwig van). Compositeur allemand : ","Fagerolles (Henri). Fils du précédent. Peintre. Amant d'irma Bécot : ",1
"*Beethoven (Ludwig van). Compositeur allemand : ","Hallegrain (Christine). Fille des précédents. Maîtresse, puis épouse de Claude Lantier : ",3
"*Beethoven (Ludwig van). Compositeur allemand : ","Jabouille (Mathilde). Épouse, puis veuve du précédent. Maîtresse de Mahou-deau et de Chaîne. Épouse Édouard Jory : ",3
"*Beethoven (Ludwig van). Compositeur allemand : ","*Véronèse (Paolo Caliari, dit). Peintre italien : ",2
"*Beethoven (Ludwig van). Compositeur allemand : ","*Schumann. Compositeur allemand : ",3
"*Beethoven (Ludwig van). Compositeur allemand : ","*Wagner (Richard). Compositeur allemand : ",3
"*Beethoven (Ludwig van). Compositeur allemand : ","*Chopin (Frédéric). Compositeur polonais : ",1
"*Beethoven (Ludwig van). Compositeur allemand : ","*Delacroix (Eugène). Peintre français : ",1
"*Beethoven (Ludwig van). Compositeur allemand : ","*Gœt  (Wolfgang). Écrivain allemand. — : ",1
"*Beethoven (Ludwig van). Compositeur allemand : ","*Mendelssohn (Félix). Compositeur allemand : ",1
"*Beethoven (Ludwig van). Compositeur allemand : ","*Shakespeare (William). Écrivain anglais : ",1
"*Beethoven (Ludwig van). Compositeur allemand : ","*Virgile. Poète latin : ",1
"Belloque (le père). Premier maître de dessin de Claude Lantier : ","Berthou. Peintre, dont Claude Lantier a fréquenté l'atelier : ",2
"Belloque (le père). Premier maître de dessin de Claude Lantier : ","Coupeau (dit Cadet-Cassis). Époux de Gervaise Macquart. Père d'Anna. Frère de Mme Lerat et de Mme Lorilleux. Ouvrier zingueur. — : ",2
"Belloque (le père). Premier maître de dessin de Claude Lantier : ","Dubuche (Louis). Fils de la précédente. Camarade de Claude Lantier et de Pierre Sandoz. Élève architecte : ",1
