"from","to","weight"
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Bodin (Docteur). Vieux médecin de Passy : ",1
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Deberle. Père du Docteur Deberle : ",1
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Deberle (Henri). Médecin de Passy. Devient l'amant d'Hélène Grand) ean : ",23
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Deberle (Juliette). Fille de M. Letellier. Épouse du précédent : ",27
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Grandjean (Hélène). Deuxième enfant du chapelier Mouret et d'Ursule Mac-quart. Veuve de Charles Grandjean. Maîtresse du Docteur Deberle, puis épouse de Rambaud. Mère de Jeanne Grandjean : ",27
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Grandjean (Jeanne). Fille de la précédente : ",18
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Pierre. Valet de chambre des Deberle : ",11
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Deberle (Lucien). Fils des précédents : ",14
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Mouret. Ouvrier chapelier. Époux d'Ursule Mac-quart : ",2
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Noémi. A&rice du Théâtre du Vaudeville: ",5
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Chermette (Mme de). Amie de Mme Deberle : ",8
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Grandjean (Charles). Premier époux d'Hélène Mouret. Père de Jeanne Grandjean. Rafïineur à Marseille : ",3
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Tissot (Mme). Amie de Mme Deberle: ",5
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Jouve (abbé). Demi-frère de Rambaud. Ami et conseiller d'Hélène Grandjean. Vicaire à l'église Notre-Dame-de-Grâce, à Passy : ",4
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Manguelin (Mme). Protégée de Mme Deberle : ",2
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Rambaud. Demi-frère cadet de l'abbé Jouve. Négociant en produits du Midi. Épouse Hélène Grand)ean : ",5
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Berthier (Mme). Amie de Mme Deberle : ",4
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Guiraud (Mme de). Épouse du précédent. Amie de Mme Deberle : ",7
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Levasseur (Juliette). Amie de Mme Deberle : ",7
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Malignon. Ami des De-berle. Amoureux de Juliette Deberle: ",16
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Guiraud (de). Magistrat : ",3
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Lecomte (Mme). Amie de Malignon : ",2
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Letellier. Père de sJuliette Déberle et de sa sœur Pauline. Négociant en soirie : ",8
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Letellier (Pauline). Sœur de Juliette Deberle : ",18
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Robinot (Mme). Amie de Malignon : ",2
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Smithson (Mlle). Gouvernante anglaise employée chez les Deberle : ",2
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Berthier (le petit). Fils de Mme Berthier : ",1
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Guiraud (la petite). Fille des de Guiraud : ",4
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Guiraud (le petit). Fils des de Guiraud : ",2
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Berthier (Blanche). Fille de la précédente : ",4
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Berthier (Sophie). Seconde fille de Mme Berthier : ",4
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Chermette (Valentine de). Fille de la précédente : ",4
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Levasseur (Mlles). Filles des précédents : ",5
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Tissot (le fils). Fils de Mme Tissot : ",4
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Sa sœur : ",3
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Levasseur. Mari de Juliette Levasseur : ",2
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Lacour (Zéphirin). Fiancé de Rosalie Pichon. Soldat d'inf terie: ",1
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Pichon (Rosalie). Domestique de Mme Grandjean. Fiancée de Zéphirin Lacour: ",1
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","Tissot (Marguerite). Fille de la précédente : ",3
"Aurélie (Mlle). Vieille amie de Mme Deberle : ","*Balzac (Honoré de). Écrivain français: ",1
"*Balzac (Honoré de). Écrivain français: ","Chermette (Mme de). Amie de Mme Deberle : ",1
"*Balzac (Honoré de). Écrivain français: ","Chermette (Valentine de). Fille de la précédente : ",1
"*Balzac (Honoré de). Écrivain français: ","Deberle (Henri). Médecin de Passy. Devient l'amant d'Hélène Grand) ean : ",2
"*Balzac (Honoré de). Écrivain français: ","Deberle (Juliette). Fille de M. Letellier. Épouse du précédent : ",2
"*Balzac (Honoré de). Écrivain français: ","Grandjean (Hélène). Deuxième enfant du chapelier Mouret et d'Ursule Mac-quart. Veuve de Charles Grandjean. Maîtresse du Docteur Deberle, puis épouse de Rambaud. Mère de Jeanne Grandjean : ",2
"*Balzac (Honoré de). Écrivain français: ","Guiraud (de). Magistrat : ",2
"*Balzac (Honoré de). Écrivain français: ","Sa sœur : ",1
