"from","to","weight"
"*Alexandre II (l'Empereur). Tsar de Russie ","Besnus (Clarisse). Aébrice du Théâtre des Variétés. Maîtresse de L Faloise ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","*Bismarck (Otto de). Homme d'État prussien ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Blond (Maria). Aétrice du Théâtre des Folies-Drama-tiques ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Bordenave. Directeur du Théâtre des Variétés ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Cabiroche (Simonne). A&rice du Théâtre des Variétés. Maîtresse de Bordenave. Une des familières de Nana ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Daguenet (Paul). Un des amants de Nana. Épouse Estelle Muffat ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Écosse (le prince d'). Un des amants de Nana ",1
"*Alexandre II (l'Empereur). Tsar de Russie ","Fauchery (Léon). Journaliste et auteur dramatique. Amant de Rose Mignon, de la comtesse Muffat et de Nana ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Foucarmont. Amant de Louise Violaine et de Nana. Officier de marine ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Fougeray (Mlle de). Fille des précédents ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Gaga. Vieille courtisane, que fréquente Nana ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Héquet (Caroline). Fille galante ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Horn (Léa de). Courtisane ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Hugon (Georges), Fils cadet de Mme Hugon. Amant , a de Nana ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Labordette. Familier de Nana et de ses amies ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","La Faloise (Hector de). Amant de Clarisse Besnus. Provincial Jouant au dandy ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Mignon (Auguste). Époux j ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Mignon (Rose). Epouse du précédent. Aétrice du Théâtre des Variétés. Rivale . de Nana. Maîtresse de Fau-chery ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Nana (Anna Coupeau, dite). Fille de Coupeau et de Gervaise Macquart. Demi-sœur de Claude, Étienne et Jacques Lantier. Fille galante : ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","*Shah de Perse (le) ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Sivry (Blanche de), de son vrai nom Jacqueline Baudu. Courtisane ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Steiner. Banquier. Entretient Rose Mignon, puis Nana ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Stewart (Lucy). Courtisane. Une des familières de Nana ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Tatan Néné. Fille galante. Une des familières de Nana ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Vandeuvres (comte Xavier de). Propriétaire d'une écurie de courses. Un des amants de Nana ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","*Victor-Emmanuel II, roi d'Italie ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Violaine (Louise). Aftrice des Variétés. Une des familières de Nana ",2
"Amélie, dite Lili. Fille de Gaga ","Daguenet (Paul). Un des amants de Nana. Épouse Estelle Muffat ",17
"Amélie, dite Lili. Fille de Gaga ","Fauchery (Léon). Journaliste et auteur dramatique. Amant de Rose Mignon, de la comtesse Muffat et de Nana ",16
"Amélie, dite Lili. Fille de Gaga ","Gaga. Vieille courtisane, que fréquente Nana ",22
"Amélie, dite Lili. Fille de Gaga ","Héquet (Caroline). Fille galante ",22
"Amélie, dite Lili. Fille de Gaga ","Héquet (Mme). Mère de la précédente ",6
"Amélie, dite Lili. Fille de Gaga ","Hugon (Georges), Fils cadet de Mme Hugon. Amant , a de Nana ",22
"Amélie, dite Lili. Fille de Gaga ","La Faloise (Hector de). Amant de Clarisse Besnus. Provincial Jouant au dandy ",15
"Amélie, dite Lili. Fille de Gaga ","Mignon (Auguste). Époux j ",19
"Amélie, dite Lili. Fille de Gaga ","Mignon (Rose). Epouse du précédent. Aétrice du Théâtre des Variétés. Rivale . de Nana. Maîtresse de Fau-chery ",8
"Amélie, dite Lili. Fille de Gaga ","Nana (Anna Coupeau, dite). Fille de Coupeau et de Gervaise Macquart. Demi-sœur de Claude, Étienne et Jacques Lantier. Fille galante : ",27
"Amélie, dite Lili. Fille de Gaga ","Sivry (Blanche de), de son vrai nom Jacqueline Baudu. Courtisane ",11
"Amélie, dite Lili. Fille de Gaga ","Steiner. Banquier. Entretient Rose Mignon, puis Nana ",16
"Amélie, dite Lili. Fille de Gaga ","Stewart (Lucy). Courtisane. Une des familières de Nana ",22
"Amélie, dite Lili. Fille de Gaga ","Auguste. Garçon de salle au café des Variétés",2
"Amélie, dite Lili. Fille de Gaga ","Besnus (Clarisse). Aébrice du Théâtre des Variétés. Maîtresse de L Faloise ",9
"Amélie, dite Lili. Fille de Gaga ","Bordenave. Directeur du Théâtre des Variétés ",10
