"from","to","weight"
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Florent. Demhfrère aîné de Quenu. Déporté à Cayenne après le coup d'État, évadé et devenu inspecteur à la marée aux Halles : ",15
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Godeboeuf. Marchand d'herbes cuites : ",1
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Lacaille. Marchand des quatre-saisons aux Halles : ",14
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ",8
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Lebigre. Marchand de vin, rue Rambuteau : ",9
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Méhudin (Louise), dite la belle Normande. Fille aînée de la mère Méhudin. Poissonnière aux Halles : ",4
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Méhudin (Claire). Seconde fille de la mère Méhudin. Poissonnière aux Halles : ",5
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","*Murillq (Bartolomé Es-teban, dit). Peintre espagnol: ",1
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Quenu (Lisa). Fille d'Antoine Macquart et de Joséphine Gavaudan. Sœur de Gervaise et de Jean Macquart. Épouse de Quenu. Mère de Pauline Quenu : ",5
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Saget (Mlle). Petite vieille habitant le quartier des Halles, rue Pirouette : ",6
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","*Bonaparte (Louis-Napoléon). Empereur sous le nom de Napoléon III : ",1
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Charvet. Professeur libre. Fait partie du groupe Ga-vard : ",10
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Clémence. Compagne de Charve. Tablettière à la criée aux poissons : ",9
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Gavard. Marchand de volailles aux Halles. Beau-frère de Mme Lecœur, oncle de la Sarriette. Anime un groupe républicain : ",12
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Lecœur (Mme). Marchande de beurre, œufs et fromages aux Halles : ",5
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Logre. Crieur à la marée. Indicateur de police : ",12
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Robine. Habitant de la rue Saint-Denis. Un des amis de Gavard: ",12
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Rose. Fille de comptoir chez Lebigre : ",5
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Sarriette (la). Nièce de Mme Lecœur et de Gavard. Marchande de fruits aux Halles : ",5
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Méhudin (la mère). Vieille poissonnière aux Halles : ",3
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Cadine. Fillette recueillie par la mère Chantemesse, compagne de Marjolin : ",2
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","François (Mme). Maraîchère à Nanterre. Vient toutes les nuits aux Halles : ",4
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Marjolin. Jeune orphelin, compagnon de Cadine. Employé chez Gavard : ",2
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Quenu. Fils de Quenu et de Mme Quenu, née Gradelle. Époux de Lise Mac-quart. Père de Pauline Quenu : ",2
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Manoury. Fa&eur aux Halles : ",1
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Quenu (Pauline). Fille de Quenu et de Lisa Macquart : ",1
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Chantemesse (la mère). Vendeuse « au petit tas , aux Halles : ",1
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Jules. Porteur aux Halles, amant de la Sarriette : ",1
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Landois (Auguste). Garçon charcutier chez Quenu. -  ouse Auguste Landois, son cousin : ",1
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Lehudier (le petit). Jeune élève de Charvet : ",1
"Alexandre. Fort des Halles, fait partie du groupe Gavard : ","Roustan (abbé). Vicaire à l'église Saint-EuStache : ",1
"*Baratte. Restaurant des Halles : ","Cadine. Fillette recueillie par la mère Chantemesse, compagne de Marjolin : ",2
"*Baratte. Restaurant des Halles : ","Florent. Demhfrère aîné de Quenu. Déporté à Cayenne après le coup d'État, évadé et devenu inspecteur à la marée aux Halles : ",3
"*Baratte. Restaurant des Halles : ","Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ",2
"*Baratte. Restaurant des Halles : ","Marjolin. Jeune orphelin, compagnon de Cadine. Employé chez Gavard : ",2
"*Baratte. Restaurant des Halles : ","Lecœur (Mme). Marchande de beurre, œufs et fromages aux Halles : ",2
"*Baratte. Restaurant des Halles : ","Quenu. Fils de Quenu et de Mme Quenu, née Gradelle. Époux de Lise Mac-quart. Père de Pauline Quenu : ",2
"*Baratte. Restaurant des Halles : ","Quenu (Lisa). Fille d'Antoine Macquart et de Joséphine Gavaudan. Sœur de Gervaise et de Jean Macquart. Épouse de Quenu. Mère de Pauline Quenu : ",2
"*Baratte. Restaurant des Halles : ","Saget (Mlle). Petite vieille habitant le quartier des Halles, rue Pirouette : ",4
"*Baratte. Restaurant des Halles : ","Sarriette (la). Nièce de Mme Lecœur et de Gavard. Marchande de fruits aux Halles : ",2
"*Baratte. Restaurant des Halles : ","Muche. Fils de Louise Méhudin : ",2
"*Baratte. Restaurant des Halles : ","Quenu (Pauline). Fille de Quenu et de Lisa Macquart : ",2
"*Baratte. Restaurant des Halles : ","Chantemesse (la mère). Vendeuse « au petit tas , aux Halles : ",1
"*Baratte. Restaurant des Halles : ","*Rubens (Peter Paul). Peintre flamand : ",1
