"from","to","weight"
"Adèle. Domestique des Josserand : ","Campardon (Achille). Ar-chiteéle : ",36
"Adèle. Domestique des Josserand : ","Campardon (Rose). Fille des Domergue. Épouse du précédent : ",26
"Adèle. Domestique des Josserand : ","Campardon (Angèle). Fille des Campardon : ",14
"Adèle. Domestique des Josserand : ","Gourd. Concierge de l'immeuble Vabre, rue de Choi-seul. — : ",37
"Adèle. Domestique des Josserand : ","Josserand. Fils du précédent. Époux d'Éléonore Bachelard. Père de Léon, Saturnin, Hortense et Berthe. Caissier : ",69
"Adèle. Domestique des Josserand : ","Lisa. Femme de chambre des Campardon : ",52
"Adèle. Domestique des Josserand : ","Mouret (Octave). Fils aîné de François Mouret et de Marthe Rougon. Frère de Serge et de Désirée. Époux de Caroline Hédouin, puis de Denise Baudu : ",67
"Adèle. Domestique des Josserand : ","Vabre. Ancien notaire. Propriétaire de l'immeuble de la rue de Choiseul. Père d'AuguSte, Clotilde et Théophile : ",22
"Adèle. Domestique des Josserand : ","Victoire. Cuisinière des Campardon : ",35
"Adèle. Domestique des Josserand : ","Dambreville. Employé de ministère : ",6
"Adèle. Domestique des Josserand : ","Dambreville (Mme). Épouse du précédent. Maîtresse de Léon Josserand : ",19
"Adèle. Domestique des Josserand : ","Josserand (Éléonore). Fille de Bachelard. Épouse du précédent. Sœur de Narcisse Bachelard. — : ",84
"Adèle. Domestique des Josserand : ","Josserand (Léon). Fils aîné des Josserand : ",20
"Adèle. Domestique des Josserand : ","Josserand (Saturnin). Second fils des Josserand : ",36
"Adèle. Domestique des Josserand : ","Josserand (Hortense). Fille aînée des Josserand : ",55
"Adèle. Domestique des Josserand : ","Vabre (Berthe). Fille cadette des Josserand. Épouse du précédent. Maîtresse d'O&ave Mouret : ",83
"Adèle. Domestique des Josserand : ","Bachelard (Narcisse). Beau-frère de Josserand. Dirige une affaire de commission : ",36
"Adèle. Domestique des Josserand : ","Gueulin. Neveu de Narcisse Bachelard. Employé dans une compagnie d'assurances : ",16
"Adèle. Domestique des Josserand : ","Desmarquay. Agent de change. Patron de Trublot : ",5
"Adèle. Domestique des Josserand : ","Juzeur (Mme). Locataire de l'immeuble Vabre, rue de Choiseul : ",45
"Adèle. Domestique des Josserand : ","Trublot (Heétor). Employé d'agent de change : ",49
"Adèle. Domestique des Josserand : ","Du Veyrier (Alphonse). Conseiller à la Cour d'appel. Époux de Cio tilde . Vabre. Amant de Clarisse Bocquet : ",54
"Adèle. Domestique des Josserand : ","Duveyrier (Clotilde). Fille de Vabre. Sœur d'Auguste et Théophile Vabre. Femme du précédent : ",47
"Adèle. Domestique des Josserand : ","Juillerat (docteur). Vieux médecin de quartier : ",20
"Adèle. Domestique des Josserand : ","Vabre (Valérie). Fille des Louhette. Épouse du précédent : ",44
"Adèle. Domestique des Josserand : ","Bonnaud. Ancien chef de la comptabilité aux Chemins de fer du Nord : ",2
