"from","to","weight"
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Lantier (Auguste). Amant de Gervaise Macquart. Père de Claude* Jacques et Étienne Lantier. Ouvrier tanneur à Plassans : ",26
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ",11
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Lantier (Etienne). Troisième fils de Gervaise Mac-quart et d'AuguSte Lantier: ",15
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Macquart (Gervaise). Fille d'Antoine Macquart et de Joséphine Gavaudan. Maîtresse d'AuguSte Lantier. Épouse de Coupeau. Mère de Claude, Jacques, Étienne Lantier et d'Anna Coupeau : ",27
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Boche (Mme). Epouse du précédent : ",13
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Fauconnier (Mme). Blanchisseuse : ",3
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Poisson (Virginie). Ouvrière. Sœur d'Adèle. Épouse le sergent de ville Poisson. Maîtresse d'AuguSte Lantier : ",22
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Charles. Garçon de lavoir : ",6
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Macquart (Antoine). Fils d'Adélaïde Fouque et de Macquart. Époux de Joséphine Gavaudan. Père de Lisa, Gervaise et Jean Mac-quart: ",2
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Boche. Concierge de l'im-meuble habité par les Cou-peau, rue de la Goutte-d'Ot : ",5
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Bibi-la-Grillade. Ouvrier. Ami de Coupeau : ",2
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Colombe (le père). Propriétaire de l'Assommoir : ",2
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Coupeau (dit Cadet-Cassis). Époux de Gervaise Macquart. Père d'Anna. Frère de Mme Lerat et de Mme Lorilleux. Ouvrier zingueur. — : ",5
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Goujet (Mme). Mère du précédent : ",1
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Poisson. Sergent de ville. Épouse la grande Virginie : ",6
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Augustine. Apprentie blanchisseuse : ",2
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Clémence. Ouvrière re- 'f passeuse : ",5
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Coupeau (maman). Mère de Coupeau, de Mme Lerat et de Mme Lorilleux : ",6
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Lerat (Mme). Sœur aînée de Mme Lorilleux et de Cou-peau. Ouvrière fleuriste : ",1
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Putois (Mme). Ouvrière blanchisseuse: ",5
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Bru (le père). Ancien ouvrier peintrey : ",1
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Goujet, dit Gueule-d'Or. Ouvrier forgeron : ",2
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Lorilleux. Beau-frère de Goupeau et de Mme Lerat. Ouvrier chaîniSte en chambre : ",1
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Lorilleux (Mme). Épouse du précédent. Sœur de Cou-peau et de Mme Lerat : ",1
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","*Bonaparte (Louis-Napoléon). Empereur sous le nom de Napoléon III : ",2
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Marescot. Propriétaire de la maison de la rue de la Goutte-d'Or où demeurent les Coupeau.i : ",1
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Célestine. Amie de la grande Clémence : ",1
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Bec-Salé (dit Boit-sans-soif). Ouvrier forgeron. Amant de la grosse Eulalie : ",1
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Vigouroux (Mme). Épouse du précédent : ",1
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Macquart (Joséphine), dite Fine. Rempailleuse de chaises à Plassans. Épouse d'Antoine Macquart. Mère de Lisa, Gervaise et Jean Macquart : ",1
"Adèle. Sœur de Virginie. Maîtresse d'AuguSte Lantier. Brunisseuse : ","Marsoullier. Tenancier de l'hôtel Boncœur : ",1
"Amanda (Mlle). Chanteuse de café-concert : ","Baquet (la mère). Marchande de vin à La Chapelle : ",3
"Amanda (Mlle). Chanteuse de café-concert : ","Bibi-la-Grillade. Ouvrier. Ami de Coupeau : ",3
"Amanda (Mlle). Chanteuse de café-concert : ","Colombe (le père). Propriétaire de l'Assommoir : ",1
"Amanda (Mlle). Chanteuse de café-concert : ","Coupeau (maman). Mère de Coupeau, de Mme Lerat et de Mme Lorilleux : ",2
"Amanda (Mlle). Chanteuse de café-concert : ","Coupeau (dit Cadet-Cassis). Époux de Gervaise Macquart. Père d'Anna. Frère de Mme Lerat et de Mme Lorilleux. Ouvrier zingueur. — : ",3
