"from","to","weight"
"André (le père). Vieux paysan de Chavanoz : ","Miette (Marie Chante-I greil, dite). Fille de Chante-: greil. Jeune amie de Silvère Mouret: ",2
"André (le père). Vieux paysan de Chavanoz : ","Mouret (Silvère). Fils d'Ursule Macquart et du chapelier Mouret : ",2
"André (le père). Vieux paysan de Chavanoz : ","Rébufat (JuStin). Fils des précédents : ",1
"Blériot (de). Préfet. Réprime l'insurreéfion de la région de Plassans en décembre ","Garçonnet. Maire de Pl sans en ",2
"Blériot (de). Préfet. Réprime l'insurreéfion de la région de Plassans en décembre ","Masson (colonel). Officier chargé de réprimer la résistance républicaine au coup d'État: ",8
"Blériot (de). Préfet. Réprime l'insurreéfion de la région de Plassans en décembre ","Miette (Marie Chante-I greil, dite). Fille de Chante-: greil. Jeune amie de Silvère Mouret: ",4
"Blériot (de). Préfet. Réprime l'insurreéfion de la région de Plassans en décembre ","Mouret (Silvère). Fils d'Ursule Macquart et du chapelier Mouret : ",4
"Blériot (de). Préfet. Réprime l'insurreéfion de la région de Plassans en décembre ","Peirotte. Receveur particulier à Plassans : ",2
"Blériot (de). Préfet. Réprime l'insurreéfion de la région de Plassans en décembre ","Rougon (Pascal). Second fils de Pierre Rougon et de Félicité Puech. Médecin à Plassans : ",3
"Blériot (de). Préfet. Réprime l'insurreéfion de la région de Plassans en décembre ","Sicardot (commandant). Capitaine retraité à Plassans. Père d'Angèle Sicardot : ",2
"Blériot (de). Préfet. Réprime l'insurreéfion de la région de Plassans en décembre ","Granoux (Isidore). Ancien marchand d'amandes. Rentier de Plassans: ",4
"Blériot (de). Préfet. Réprime l'insurreéfion de la région de Plassans en décembre ","Rougon (Pierre). Fils d'Adélaïde Fouque et de Rougon. Époux de Félicité Puech. Père d'Eugène, Pascal, Aristide, Sidonie et Marthe R o u g o n. Marchand d'huile à Plassans : ",4
