"from","to","weight"
"Aubry. Père de Séverine.;, Jardinier : ","Dauvergne (Henri). Fils de Dauvergne. Conduâeur-chef à la Compagnie de l'OueSt : ",2
"Aubry. Père de Séverine.;, Jardinier : ","Dauvergne (Sophie). Fille aînée de Dauvergne : ",2
"Aubry. Père de Séverine.;, Jardinier : ","Dauvergne (Claire). Fille cadette de Dauvergne : ",2
"Aubry. Père de Séverine.;, Jardinier : ","Grandmorin (président). Premier président (en retraite) de la Cour de Rouen. Parrain et tuteur de Séverine Aubry. Tué par Roubaud : ",8
"Aubry. Père de Séverine.;, Jardinier : ","Lachesnaye (Mme de). Fille du président Grand-morin. Épouse du précédent : ",7
"Aubry. Père de Séverine.;, Jardinier : ","Pecqueux (Viétoire), dite la mère Vi&oire. Femme du précédent. Ancienne nourrice de Séverine Aubry. Gardienne des cabinets de luxe à la gare Saint-Lazare : ",3
"Aubry. Père de Séverine.;, Jardinier : ","Roubaud. Mari de Séverine Aubry. Sous-chef de gare au Havre. Meurtrier du président Grandmorin : ",8
"Aubry. Père de Séverine.;, Jardinier : ","Roubaud ( Séverine). Fille d'Aubry. Épouse de Roubaud. Maîtresse de Jacques Lantier : ",8
"Aubry. Père de Séverine.;, Jardinier : ","Bonnehon (Mme). Veuve du manufacturier Bonnehon, Sœur du président Grandmo-rin. Châtelaine de Doin ville : ",3
"Aubry. Père de Séverine.;, Jardinier : ","Denizet. Juge d'inStruc-tion à Rouen. Instruit l'affaire du meurtre du président Grandmorin : ",2
"Aubry. Père de Séverine.;, Jardinier : ","Lachesnaye (de). Conseiller à la Cour de Rouen : ",3
"Bessière. Chef de gare de Barentin : ","Flore. Fille aînée de Pha-sie Misard. Garde-barrière à la Croix-de-Maufras : ",6
"Bessière. Chef de gare de Barentin : ","Grandmorin (président). Premier président (en retraite) de la Cour de Rouen. Parrain et tuteur de Séverine Aubry. Tué par Roubaud : ",14
"Bessière. Chef de gare de Barentin : ","Lantier (Jacques). Second fils de Gervaise  cquart et d'AuguSte Lantier. Mécanicien à la Compagnie de l'OueSt. Amant, puis meurtrier de Séverine Aubry : ",15
"Bessière. Chef de gare de Barentin : ","Misard. Stationnaire de la Compagnie de POueSt, à la Croix-de-Maufras : ",6
"Bessière. Chef de gare de Barentin : ","Phasie (tante). Femme de Misard. Mère de Flore et de Louisette : ",2
"Bessière. Chef de gare de Barentin : ","Roubaud. Mari de Séverine Aubry. Sous-chef de gare au Havre. Meurtrier du président Grandmorin : ",12
"Bessière. Chef de gare de Barentin : ","Roubaud ( Séverine). Fille d'Aubry. Épouse de Roubaud. Maîtresse de Jacques Lantier : ",15
"Bessière. Chef de gare de Barentin : ","Bonnehon (Mme). Veuve du manufacturier Bonnehon, Sœur du président Grandmo-rin. Châtelaine de Doin ville : ",8
"Bessière. Chef de gare de Barentin : ","Louisette. Fille cadette de Phasie Misard. Femme de chambre de Mme Bonnehon : ",1
"Bessière. Chef de gare de Barentin : ","Caughe. Commissaire de surveillance administrative à la gare du Havre : ",4
