"from","to","weight"
"Auguste. Porcher à h l ferme de la Borderie : ","Cognet (Jacqueline), dite la Cognette. Fille du précédent. Servante et maîtresse \ d'Alexandre Hourdequin. Maîtresse de Tron : ",7
"Auguste. Porcher à h l ferme de la Borderie : ","Hourdequin (Alexandre). Fils du précédent. Propriétaire de la ferme de la Borderie : ",6
"Auguste. Porcher à h l ferme de la Borderie : ","Macquart (Joséphine), dite Fine. Rempailleuse de chaises à Plassans. Épouse d'Antoine Macquart. Mère de Lisa, Gervaise et Jean Macquart : ",1
"Auguste. Porcher à h l ferme de la Borderie : ","Macquart (Jean). Fils d'Antoine Macquart et de Joséphine Gavaudan. Menuisier à Plassans : ",8
"Auguste. Porcher à h l ferme de la Borderie : ","Soulas. Berger à la ferme de la Borderie : ",11
"Auguste. Porcher à h l ferme de la Borderie : ","Tron. Valet de ferme à la Borderie. Amant de Jacqueline Cognet, dite la Cognette : ",4
"Auguste. Porcher à h l ferme de la Borderie : ","Fouan (Françoise), dite Françoise Mouche. Fille de Michel Fouan, dit Mouche. Soeur de Lise. Épouse Jean Macquart : ",4
"Auguste. Porcher à h l ferme de la Borderie : ","Hourdequin (Mme). Épouse du précédent. Sœur de Me Baülehache : ",3
"Auguste. Porcher à h l ferme de la Borderie : ","Guillaume. Petit porcher à la ferme de la Borderie : ",2
"Auguste. Porcher à h l ferme de la Borderie : ","Mathias (le père). Vieux valet de ferme à la Borderie : ",2
"Auguste. Porcher à h l ferme de la Borderie : ","Delhomme. Époux de Fann Fouan. Père d'ErneSt. , Paysan de Rognes : ",2
"Auguste. Porcher à h l ferme de la Borderie : ","Delhomme (Fanny). Fille du père Fouan. Épouse de Delhomme. Mère d'ErneSt : ",2
"Auguste. Porcher à h l ferme de la Borderie : ","Fouan, dit Buteau. Second fils du père Fouan. Frère de Jésus-ChriSt et de Fanny Delhomme. Cousin et époux de Lise Mouche. Père de Jules et de Laure : ",2
"Auguste. Porcher à h l ferme de la Borderie : ","Fouan (Louis), dit le père Fouan. Fils de Joseph-Casimir Fouan. Frère de Marianne Fouan (dite la Grande), Michel Fouan (dit Mouche) et Laure Badeuil. Époux de Rose Maliverne. Père de Hyacinthe (dit Jésus-ChriSt), Buteau et Fanny Delhomme : ",2
"Auguste. Porcher à h l ferme de la Borderie : ","Baillehache. Notaire à Cloyes : ",1
"Auguste. Porcher à h l ferme de la Borderie : ","Fouan (Hyacinthe), dit Jésus-ChriSt. Fils aîné du père Fouan et de Rose Mali-verne. Frère de Buteau et de Fanny Delhomme. Père d'Olympe, dite la Trouille. Ancien soldat. Braconnier : ",1
"Auguste. Porcher à h l ferme de la Borderie : ","Lengaigne. Débitant de tabac et cabaretier à Rognes : ",1
"Auguste. Porcher à h l ferme de la Borderie : ","Macqueron. Épicier-caba-retier à R o g nés : ",1
"Auguste. Porcher à h l ferme de la Borderie : ","Hourdequin (Mlle) Deuxième enfant d'Alexandre Hourdequin : ",1
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Badeuil (Laure). Fille cadette de Joseph-Casimir Fouan. Sœur de la Grande, du père Fouan et de Michel Fouan, dit Mouche. Épouse de Charles Badeuil. Mère d'Estelle Vaucogne : ",53
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Delhomme. Époux de Fann Fouan. Père d'ErneSt. , Paysan de Rognes : ",52
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Fouan, dit Buteau. Second fils du père Fouan. Frère de Jésus-ChriSt et de Fanny Delhomme. Cousin et époux de Lise Mouche. Père de Jules et de Laure : ",54
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Fouan (Hyacinthe), dit Jésus-ChriSt. Fils aîné du père Fouan et de Rose Mali-verne. Frère de Buteau et de Fanny Delhomme. Père d'Olympe, dite la Trouille. Ancien soldat. Braconnier : ",35
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Fouan (Louis), dit le père Fouan. Fils de Joseph-Casimir Fouan. Frère de Marianne Fouan (dite la Grande), Michel Fouan (dit Mouche) et Laure Badeuil. Époux de Rose Maliverne. Père de Hyacinthe (dit Jésus-ChriSt), Buteau et Fanny Delhomme : ",44
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Fouan (Olympe), dite la Trouille. Fille de Hyacinthe Fouan, dit Jésus-ChriSt : ",17
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Grosbois. Paysan de Ma-gnolles. Arpenteur j[uré : ",8
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Vaucogne (Estelle). Fille des Badeuil. Épouse d'Hector Vaucogne. Mère d'Élodie Vaucogne. Tenancière de maison close : ",18
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Vaucogne (Hector). Époux d'Estelle Badeuil. Père d'Élodie. Tenancier de maison close à Chartres : ",22
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Vaucogne (Élodie), Fille d'Hector et Estelle Vaucogne. Épouse Narcisse Delhomme : ",42
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Hourdequin (Alexandre). Fils du précédent. Propriétaire de la ferme de la Borderie : ",19
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Patoir. Vétérinaire de Cloyes : ",3
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Baillehache. Notaire à Cloyes : ",6
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","BÉcu (la). Epouse du précédent : ",12
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","BÉcu (Delphin). Fils des précédents : ",7
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Clou. Maréchal-ferrant. Conseiller municipal de Rognes : ",5
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Delhomme (Fanny). Fille du père Fouan. Épouse de Delhomme. Mère d'ErneSt : ",34
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Delhomme (ErneSt), dit Nénesse. Fils des précédents. Épouse Élodie Vaucogne : ",21
"Badeuil (Charles). Epoux de Laure Fouan. Père d'Estelle Vaucogne. Ancien tenancier de maison close : ","Fouan (Françoise), dite Françoise Mouche. Fille de Michel Fouan, dit Mouche. Soeur de Lise. Épouse Jean Macquart : ",37
