"from","to","weight"
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","David (le roi). Personnage de la Bible : ",13
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Rougon (Clotilde). Fille d'Aristide Rougon et de sa première femme, Angèle Sicardot : ",15
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Rougon (Pascal). Second fils de Pierre Rougon et de Félicité Puech. Médecin à Plassans : ",15
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Abraham. Personnage de la Bible : ",4
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Agar. Personnage de la Bible. Servante, puis épouse d'Abraham : ",2
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Booz. Personnage de la Bible : ",4
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Isaac. Personnage de la Bible. Fils d'Abraham : ",2
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Ismaël. Personnage de la Bible. Fils d'Abraham : ",2
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Ruth. Personnage de la Bible. Épouse de Booz : ",4
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Sara. Personnage de la Bible. Sœur et épouse d'Abraham. — : ",4
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Lévêque. Avoué à Plassans : ",1
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Lévêque (Mlle). Fille du précédent. Épouse le Docteur Ramond : ",3
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Ramond (Docteur). Médecin à Plassans : ",4
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Saccard (Angèle). Fille du commandant Sicardot. Première femme d'Aristide Rougon, dit Saccard. Mère de Maxime et Clotilde : ",1
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Martine. Vieille servante du docteur Pascal : ",6
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","*Mazarin (cardinal) : ",2
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Valqueyras (marquise de) Aristocrate de Plassans: ",3
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Valqueyras (Mlle de). Fille de la précédente : ",3
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Rougon (Félicité). Fille du marchand d'huile Puech. Épouse de Pierre Rougon. Mère d'Eugène, Pascal, Aristide, Sidonie et Marthe Rougon. .-— : ",3
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Guiraude. Habitante de Plassans. Veuve d'un tanneur. Mère de Sophie et de Valentin. — : ",2
"Abisaïg. Personnage de la Bible. Compagne du vieux roi David : ","Son enfant (fils du docteur Pascal) : ",2
"Abraham. Personnage de la Bible : ","Agar. Personnage de la Bible. Servante, puis épouse d'Abraham : ",2
"Abraham. Personnage de la Bible : ","Booz. Personnage de la Bible : ",4
"Abraham. Personnage de la Bible : ","David (le roi). Personnage de la Bible : ",2
"Abraham. Personnage de la Bible : ","Isaac. Personnage de la Bible. Fils d'Abraham : ",2
"Abraham. Personnage de la Bible : ","Ismaël. Personnage de la Bible. Fils d'Abraham : ",2
"Abraham. Personnage de la Bible : ","Rougon (Clotilde). Fille d'Aristide Rougon et de sa première femme, Angèle Sicardot : ",4
"Abraham. Personnage de la Bible : ","Rougon (Pascal). Second fils de Pierre Rougon et de Félicité Puech. Médecin à Plassans : ",4
"Abraham. Personnage de la Bible : ","Ruth. Personnage de la Bible. Épouse de Booz : ",4
"Abraham. Personnage de la Bible : ","Sara. Personnage de la Bible. Sœur et épouse d'Abraham. — : ",4
"Abraham. Personnage de la Bible : ","Martine. Vieille servante du docteur Pascal : ",1
"Abraham. Personnage de la Bible : ","Rougon (Félicité). Fille du marchand d'huile Puech. Épouse de Pierre Rougon. Mère d'Eugène, Pascal, Aristide, Sidonie et Marthe Rougon. .-— : ",1
"Agar. Personnage de la Bible. Servante, puis épouse d'Abraham : ","Booz. Personnage de la Bible : ",2
"Agar. Personnage de la Bible. Servante, puis épouse d'Abraham : ","David (le roi). Personnage de la Bible : ",1
"Agar. Personnage de la Bible. Servante, puis épouse d'Abraham : ","Isaac. Personnage de la Bible. Fils d'Abraham : ",2
"Agar. Personnage de la Bible. Servante, puis épouse d'Abraham : ","Ismaël. Personnage de la Bible. Fils d'Abraham : ",2
"Agar. Personnage de la Bible. Servante, puis épouse d'Abraham : ","Rougon (Clotilde). Fille d'Aristide Rougon et de sa première femme, Angèle Sicardot : ",2
"Agar. Personnage de la Bible. Servante, puis épouse d'Abraham : ","Rougon (Pascal). Second fils de Pierre Rougon et de Félicité Puech. Médecin à Plassans : ",2
"Agar. Personnage de la Bible. Servante, puis épouse d'Abraham : ","Ruth. Personnage de la Bible. Épouse de Booz : ",2
"Agar. Personnage de la Bible. Servante, puis épouse d'Abraham : ","Sara. Personnage de la Bible. Sœur et épouse d'Abraham. — : ",2
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Boutin. Vieil épileptique soigné par le Docteur Pascal : ",2
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Dieudonné (Mme). Femme du méger de la Ségui-ranne. Tante de Sophie : ",3
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Guiraud (Sophie). Fille de la Guiraude. Soignée par le Docteur Pascal : ",3
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Guiraud (Valentin). Fils de Guiraude. Soigné par le Docteur Pascal : ",2
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Lafouasse. Cabaretier soigné par le docteur Pascal : ",3
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Martine. Vieille servante du docteur Pascal : ",4
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Mouret (Serge). Deuxième fils de François Mouret et de Marthe Rougon. Frère d'Oo tave et de Désirée Mouret : ",6
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Rougon (Clotilde). Fille d'Aristide Rougon et de sa première femme, Angèle Sicardot : ",8
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Rougon (Pascal). Second fils de Pierre Rougon et de Félicité Puech. Médecin à Plassans : ",8
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Mouret (Désirée). Fille de François Mouret et de Marthe Rougon. Sœur d'Oc-tave et de Serge Mouret : ",4
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ",2
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","*Bonaparte (Napoléon). Empereur sous le nom de Napoléon Ier : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Deberle (Henri). Médecin de Passy. Devient l'amant d'Hélène Grand) ean : ",2
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Faujas (abbé Ovide). Prêtre à Plassans. Locataire de François Mouret. Agent politique d'Eugène Rougon : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Florent. Demhfrère aîné de Quenu. Déporté à Cayenne après le coup d'État, évadé et devenu inspecteur à la marée aux Halles : ",2
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Grandjean (Hélène). Deuxième enfant du chapelier Mouret et d'Ursule Mac-quart. Veuve de Charles Grandjean. Maîtresse du Docteur Deberle, puis épouse de Rambaud. Mère de Jeanne Grandjean : ",2
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Grandjean (Jeanne). Fille de la précédente : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Hamelin (Caroline). Sœur de Georges Hamelin. Épouse de Durieu. Intendante d'Aristide Saccard : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Hautecœur (Félicien VII de). Fils du précédent et de Paule de Valençay. Épouse Angélique Rougon : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Mouret (François). Fils d'Ursule Macquart et de Mouret. Époux de Marthe Rougon. Père d'O&ave, Serge et Désirée Mouret. Négociant en vins, huiles et amandes : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Mouret (Marthe). Fille de Pierre Rougon et de Félicité Puech. Épouse de François Mouret. Mère d'O&âve, Serge et Désirée:",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Mouret (Octave). Fils aîné de François Mouret et de Marthe Rougon. Frère de Serge et de Désirée. Époux de Caroline Hédouin, puis de Denise Baudu : ",2
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Quenu (Lisa). Fille d'Antoine Macquart et de Joséphine Gavaudan. Sœur de Gervaise et de Jean Macquart. Épouse de Quenu. Mère de Pauline Quenu : ",2
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Rougon (Angélique). Fille de Sidonie Rougon et de père inconnu. Adoptée par les Hubert. Épouse Félicien de Hautecœur : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Rougon (Félicité). Fille du marchand d'huile Puech. Épouse de Pierre Rougon. Mère d'Eugène, Pascal, Aristide, Sidonie et Marthe Rougon. .-— : ",2
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Rougon (Pierre). Fils d'Adélaïde Fouque et de Rougon. Époux de Félicité Puech. Père d'Eugène, Pascal, Aristide, Sidonie et Marthe R o u g o n. Marchand d'huile à Plassans : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Rougon (Sidonie). Première fille et quatrième enfant de Pierre et Félicité Puech. Mère d'Angélique. Épouse de Touche : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Rougon (Victor). Fils d'Aristide Rougon, dit Saccard, et de Rosalie Chavaille : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Saccard (Aristide). Aristide Rougon, dit Saccard. Fils de Pierre Rougon et de Félicité Puech. Époux d'Angèle Sicardot. Père de Maxime et Clotilde Rougôn. —: ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Bellombre. Professeur retraité. Voisin du Docteur Pascal, à la Souleiade : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Chanteau (Lazare). Fils des précédents. Cousin de Pauline Quenu. Épouse Louise Thibaudier : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Chanteau (Paul). Fils de Lazare Chanteau et de Louise Thibaudier : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Coupeau (dit Cadet-Cassis). Époux de Gervaise Macquart. Père d'Anna. Frère de Mme Lerat et de Mme Lorilleux. Ouvrier zingueur. — : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Hallegrain (Christine). Fille des précédents. Maîtresse, puis épouse de Claude Lantier : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Lantier (Auguste). Amant de Gervaise Macquart. Père de Claude* Jacques et Étienne Lantier. Ouvrier tanneur à Plassans : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Lantier (Jacques). Second fils de Gervaise  cquart et d'AuguSte Lantier. Mécanicien à la Compagnie de l'OueSt. Amant, puis meurtrier de Séverine Aubry : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Macquart (Gervaise). Fille d'Antoine Macquart et de Joséphine Gavaudan. Maîtresse d'AuguSte Lantier. Épouse de Coupeau. Mère de Claude, Jacques, Étienne Lantier et d'Anna Coupeau : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Quenu (Pauline). Fille de Quenu et de Lisa Macquart : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Roubaud ( Séverine). Fille d'Aubry. Épouse de Roubaud. Maîtresse de Jacques Lantier : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Thibaudier (Louise). Fille du précédent. Épouse Lazare Chanteau : ",1
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Guiraude. Habitante de Plassans. Veuve d'un tanneur. Mère de Sophie et de Valentin. — : ",1
"Balbi (Clorinde). Fille de la précédente. Intrigante italienne. Épouse DeleStang : ","Fouque (Adélaïde), dite Tante Dide. Aïeule des Rougon-Macquart. Épouse du jardinier Rougon, puis maîtresse du contrebandier Mac-quart :",2
"Balbi (Clorinde). Fille de la précédente. Intrigante italienne. Épouse DeleStang : ","Macquart (Antoine). Fils d'Adélaïde Fouque et de Macquart. Époux de Joséphine Gavaudan. Père de Lisa, Gervaise et Jean Mac-quart: ",2
"Balbi (Clorinde). Fille de la précédente. Intrigante italienne. Épouse DeleStang : ","Mouret (Silvère). Fils d'Ursule Macquart et du chapelier Mouret : ",2
"Balbi (Clorinde). Fille de la précédente. Intrigante italienne. Épouse DeleStang : ","Mouret (Ursule). Fille d'Adélaïde Fouque et de Macquart. Épouse de Mouret. Mère de François, Hélène et Silvère Mouret : ",2
"Balbi (Clorinde). Fille de la précédente. Intrigante italienne. Épouse DeleStang : ","Rougon (Charles), dit Saccard. Fils de Maxime Rougon, dit Saccard, et de Justine Mégot : ",1
"Balbi (Clorinde). Fille de la précédente. Intrigante italienne. Épouse DeleStang : ","Rougon (Clotilde). Fille d'Aristide Rougon et de sa première femme, Angèle Sicardot : ",2
"Balbi (Clorinde). Fille de la précédente. Intrigante italienne. Épouse DeleStang : ","Rougon (Eugène). Fils de Pierre Rougon et de Félicité Puech. Avocat. Agent secret de Louis - Napoléon Bonaparte: ",2
