"from","to","weight"
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Béraud du Châtel. Père de Renée Saccard et de Christine. Président de Chambre, démissionnaire lors du coup d'État : ",17
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Béraud du Châtel (Christine). Fille de Béraud : du Châtel. Sœur de Renée Saccard : ",18
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Céleste. Femme de chambre de Renée Saccard: ",3
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Charrier. Entrepreneur : ",4
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","*Espanet (marquise d'). Épouse du précédent. Amie de pension de Renée Sac-card : ",7
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Haffner (Suzanne). Épouse du précédent, amie de pension de Renée Saccard et d'Adeline d'Espanet : ",5
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Mareuil (de). Ancien raf-fineur du Havre. A substitué à son nom originel (Bonnet) le nom de jeune fille de sa femme. Candidat officiel au Corps législatif. Père de Louise de Mareuil : ",3
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Mareuil (Louise de). Fille des précédents. Épouse Maxime Saccard : ",8
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Mignon. Entrepreneur. Associé de Charrier : ",4
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Mussy (de). Attaché d'ambassade. Ami de Maxime Saccard : ",5
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Saccard (Aristide). Aristide Rougon, dit Saccard. Fils de Pierre Rougon et de Félicité Puech. Époux d'Angèle Sicardot. Père de Maxime et Clotilde Rougôn. —: ",19
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Saccard (Renée). Fille de Béraud du Châtel. Deuxième femme d'Aristide Saccard : ",25
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Baptiste. Valet de chambre des Saccard : ",2
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Gouraud (baron). Sénateur: ",4
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Haffner. Industriel de Colmar : ",1
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Hupel de la Noue. Ami des Saccard. Préfet : ",2
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Michelin. Chef de bureau à la voirie à la préfefture de la Seine : ",1
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Michelin (Mme). Épouse du précédent : ",1
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Rougon (Maxime). Fils d'Aristide Rougon, dit plus tard Saccard, et d'Angèle Sicardot : ",9
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Rougon (Sidonie). Première fille et quatrième enfant de Pierre et Félicité Puech. Mère d'Angélique. Épouse de Touche : ",13
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Saffré (de). Secrétaire d'Eugène Rougon : ",2
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Toutin-Laroche. Conseiller municipal de Paris. Complice des trafics d'Aristide Saccard : ",1
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Aurigny (Laure d'). Demi-mondaine : ",1
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Rougon (Clotilde). Fille d'Aristide Rougon et de sa première femme, Angèle Sicardot : ",1
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Rougon (Pascal). Second fils de Pierre Rougon et de Félicité Puech. Médecin à Plassans : ",1
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Saccard (Angèle). Fille du commandant Sicardot. Première femme d'Aristide Rougon, dit Saccard. Mère de Maxime et Clotilde : ",2
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Rougon (Eugène). Fils de Pierre Rougon et de Félicité Puech. Avocat. Agent secret de Louis - Napoléon Bonaparte: ",5
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Sylvia. Petite aéfrice. Maîtresse de Maxime Saccard : ",1
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Worms. Illustre tailleur de Paris: ",2
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","Larsonneàu. Agent d'affaires. Complice de Saccard : ",1
"Aubertot (Élisabeth). Veuve du notaire Aubertot. Sœur de Béraud du Châtel. Tante de Renée Saccard et de Christine : ","*Ristori (Adélaïde). Tragédienne italienne: ",2
"Aurigny (Laure d'). Demi-mondaine : ","Béraud du Châtel (Christine). Fille de Béraud : du Châtel. Sœur de Renée Saccard : ",3
"Aurigny (Laure d'). Demi-mondaine : ","*Espanet (marquise d'). Épouse du précédent. Amie de pension de Renée Sac-card : ",8
"Aurigny (Laure d'). Demi-mondaine : ","Gouraud (baron). Sénateur: ",3
"Aurigny (Laure d'). Demi-mondaine : ","Haffner (Suzanne). Épouse du précédent, amie de pension de Renée Saccard et d'Adeline d'Espanet : ",8
"Aurigny (Laure d'). Demi-mondaine : ","Hupel de la Noue. Ami des Saccard. Préfet : ",4
"Aurigny (Laure d'). Demi-mondaine : ","Mareuil (Louise de). Fille des précédents. Épouse Maxime Saccard : ",5
"Aurigny (Laure d'). Demi-mondaine : ","Rougon (Sidonie). Première fille et quatrième enfant de Pierre et Félicité Puech. Mère d'Angélique. Épouse de Touche : ",3
