"from","to","weight"
"Adolphe. Conduâeur d'artillerie : ","Beaudoin. Capitaine au ",5
"Adolphe. Conduâeur d'artillerie : ","Chouteau. Soldat au ",3
"Adolphe. Conduâeur d'artillerie : ","*Douay (Félix). Frère du précédent. Général, commandant du ",2
"Adolphe. Conduâeur d'artillerie : ","Fouchard (Honoré). Fils du précédent. Amoureux de SÜvine Morange. Maréchal des logis dans l'artillerie. — : ",13
"Adolphe. Conduâeur d'artillerie : ","Lapoulle. Soldat au ",3
"Adolphe. Conduâeur d'artillerie : ","Levasseur (Maurice).Frère d'Henriette Levasseur. Soldat au ",11
"Adolphe. Conduâeur d'artillerie : ","Loubet. Soldat au ",4
"Adolphe. Conduâeur d'artillerie : ","Louis. Servant d'artillerie : ",12
"Adolphe. Conduâeur d'artillerie : ","Macquart (Jean). Fils d'Antoine Macquart et de Joséphine Gavaudan. Menuisier à Plassans : ",10
"Adolphe. Conduâeur d'artillerie : ","Pache. Soldat au ",5
"Adolphe. Conduâeur d'artillerie : ","Rochas. Lieutenant au ",4
"Adolphe. Conduâeur d'artillerie : ","Vineuil (colonel de). Commandant le ",3
"Adolphe. Conduâeur d'artillerie : ","Steinberg (Goliath). Garçon de ferme chez le père Fouchard, à Remilly. Père de Chariot. Espion prussien : ",2
"Adolphe. Conduâeur d'artillerie : ","*Margueritte (Jean). Général, commandant d'une division de cavalerie, à Sedan, en ",1
"Adolphe. Conduâeur d'artillerie : ","Morange (Silyine). Servante de ferme chez le père Fouchard, à Remilly. Mère de Chariot : ",3
"Adolphe. Conduâeur d'artillerie : ","Sambuc (Prosper). Frère du précédent. Chasseur d'Afrique : ",2
"Adolphe. Conduâeur d'artillerie : ","Bourgain-Desfeuilles (général). Commandant d'une brigade d'infanterie du ",1
"Adolphe. Conduâeur d'artillerie : ","Dalichamp (doéleur). Médecin à Raucourt : ",1
"Adolphe. Conduâeur d'artillerie : ","Fouchard. Père d'Ho-noré. Oncle d'Henriette et Maurice Levasseur. Paysan et boucher à Remilly : ",1
"*Augereau. Général français : ","*Bonaparte (Napoléon). Empereur sous le nom de Napoléon Ier : ",2
"*Augereau. Général français : ","*Bonaparte (Louis-Napoléon). Empereur sous le nom de Napoléon III : ",1
"*Augereau. Général français : ","*Desaix (Louis), Général français : ",1
"*Augereau. Général français : ","Levasseur. Grand-père de Maurice Levasseur : ",1
"*Augereau. Général français : ","Levasseur. Père d'Henriette et de Maurice Levasseur. Percepteur au Chesne-Populeux : ",1
"*Augereau. Général français : ","Levasseur (Mme). Mère d'Henriette et de Maurice Levasseur : ",1
"*Augereau. Général français : ","Levasseur (Maurice).Frère d'Henriette Levasseur. Soldat au ",2
"*Augereau. Général français : ","*Masséna (André). Général français : ",2
"*Augereau. Général français : ","*Murat (Joachim). Général français : ",2
"*Augereau. Général français : ","*Ney (maréchal). Maréchal de France : ",2
"*Augereau. Général français : ","Weiss (Henriette). Fille de Levasseur. Sœur de Maurice Levasseur. Épouse de Weiss : ",1
"*Augereau. Général français : ","Coutard. Soldat d'infanterie, dans la ",1
"*Augereau. Général français : ","Picot. Soldat d'infanterie dans la ",1
"Bastian. Tambour de la compagnie Beaudoin. — : ","Bouroche.i Médecin-major au ",3
"Bastian. Tambour de la compagnie Beaudoin. — : ","Delaherche (Mme). Mère de Jules Delaherche : ",1
"Bastian. Tambour de la compagnie Beaudoin. — : ","Delaherche (Jules). Fabricant de drap à Sedan. Époux de Gilberte de Vi-neuil : ",3
"Bastian. Tambour de la compagnie Beaudoin. — : ","Levasseur (Maurice).Frère d'Henriette Levasseur. Soldat au ",3
"Bastian. Tambour de la compagnie Beaudoin. — : ","Macquart (Jean). Fils d'Antoine Macquart et de Joséphine Gavaudan. Menuisier à Plassans : ",3
"Bastian. Tambour de la compagnie Beaudoin. — : ","Pache. Soldat au ",3
"Bastian. Tambour de la compagnie Beaudoin. — : ","Vineuil (colonel de). Commandant le ",1
"Bastian. Tambour de la compagnie Beaudoin. — : ","*Moltke (général de). Général prussien : ",1
"Bastian. Tambour de la compagnie Beaudoin. — : ","Rose. Fille du concierge de la sous-préfe&ure, à Sedan : ",1
"Bastian. Tambour de la compagnie Beaudoin. — : ","*Wimpffen (général de). Commandant en chef à Sedan, en remplacement du général Mac-Mahon : ",1
"*Bazaine (maréchal). Maréchal de France : ","*Bonnemain (général de). Commandant d'une division de cavalerie : ",2
"*Bazaine (maréchal). Maréchal de France : ","*Frédéric-Charles de Prusse (prince) : ",6
"*Bazaine (maréchal). Maréchal de France : ","*Frédéric-Guillaume de Prusse (prince royal). Fils du roi de Prusse Guillaume Ier. Commandant de la IIIe armée allemande en ",10
"*Bazaine (maréchal). Maréchal de France : ","Levasseur (Maurice).Frère d'Henriette Levasseur. Soldat au ",33
"*Bazaine (maréchal). Maréchal de France : ","*Mac-Mahon (général | ► de). Commandant en chef f ] de l'armée de Châlons : ",14
"*Bazaine (maréchal). Maréchal de France : ","Macquart (Jean). Fils d'Antoine Macquart et de Joséphine Gavaudan. Menuisier à Plassans : ",26
"*Bazaine (maréchal). Maréchal de France : ","*Margueritte (Jean). Général, commandant d'une division de cavalerie, à Sedan, en ",4
"*Bazaine (maréchal). Maréchal de France : ","*Steinmetz (général). Général prussien : ",4
"*Bazaine (maréchal). Maréchal de France : ","Weiss (Henriette). Fille de Levasseur. Sœur de Maurice Levasseur. Épouse de Weiss : ",11
"*Bazaine (maréchal). Maréchal de France : ","*Bonaparte (Louis-Napoléon). Empereur sous le nom de Napoléon III : ",23
"*Bazaine (maréchal). Maréchal de France : ","*Eugénie (impératrice); Épouse de Napoléon III. A : ",14
"*Bazaine (maréchal). Maréchal de France : ","*Palikao (général de). Ministre de la Guerre au moment de la bataille de Sedan : ",3
"*Bazaine (maréchal). Maréchal de France : ","*Trochu (général). Président du Gouvernement de la Défense nationale en ",2
"*Bazaine (maréchal). Maréchal de France : ","*Rouher (Eugène). Homme politique français : ",2
"*Bazaine (maréchal). Maréchal de France : ","*Bonaparte (Napoléon). Empereur sous le nom de Napoléon Ier : ",1
"*Bazaine (maréchal). Maréchal de France : ","Coutard. Soldat d'infanterie, dans la ",2
"*Bazaine (maréchal). Maréchal de France : ","Picot. Soldat d'infanterie dans la ",2
"*Bazaine (maréchal). Maréchal de France : ","Rochas. Lieutenant au ",8
"*Bazaine (maréchal). Maréchal de France : ","Weiss. Époux d'Henriette Levasseur. Contremaître chez Jules Delaherche : ",6
"*Bazaine (maréchal). Maréchal de France : ","Beaudoin. Capitaine au ",4
"*Bazaine (maréchal). Maréchal de France : ","Bouroche.i Médecin-major au ",5
"*Bazaine (maréchal). Maréchal de France : ","Fouchard. Père d'Ho-noré. Oncle d'Henriette et Maurice Levasseur. Paysan et boucher à Remilly : ",4
"*Bazaine (maréchal). Maréchal de France : ","Fouchard (Honoré). Fils du précédent. Amoureux de SÜvine Morange. Maréchal des logis dans l'artillerie. — : ",3
"*Bazaine (maréchal). Maréchal de France : ","Sambuc (Prosper). Frère du précédent. Chasseur d'Afrique : ",6
"*Bazaine (maréchal). Maréchal de France : ","*Bismarck (Otto de). Homme d'État prussien ",4
"*Bazaine (maréchal). Maréchal de France : ","Chouteau. Soldat au ",8
"*Bazaine (maréchal). Maréchal de France : ","Gaude. Clairon dans la compagnie Beaudoin : ",2
"*Bazaine (maréchal). Maréchal de France : ","*Guillaume Ier. Roi de Prusse : ",4
"*Bazaine (maréchal). Maréchal de France : ","Lapoulle. Soldat au ",8
"*Bazaine (maréchal). Maréchal de France : ","Loubet. Soldat au ",8
"*Bazaine (maréchal). Maréchal de France : ","Pache. Soldat au ",8
"*Bazaine (maréchal). Maréchal de France : ","Sapin. Sergent au ",2
"*Bazaine (maréchal). Maréchal de France : ","*Bordas (général). Commandant d'une brigade du ",2
"*Bazaine (maréchal). Maréchal de France : ","*Douay (Félix). Frère du précédent. Général, commandant du ",3
"*Bazaine (maréchal). Maréchal de France : ","*Frédéric - Charles de Saxe (prince). Neveu du roi de Prusse Guillaume Ier. Commandant de la IIe armée allemande : ",2
"*Bazaine (maréchal). Maréchal de France : ","Combette. Pharmacien au Chesne-Populeux : ",4
"*Bazaine (maréchal). Maréchal de France : ","Combette (Mme). Épouse du précédent : ",1
"*Bazaine (maréchal). Maréchal de France : ","Desroches (Me). Notaire au Chesne-Populeux : ",3
"*Bazaine (maréchal). Maréchal de France : ","Desroches (Mme). Mère du précédent : ",3
"*Bazaine (maréchal). Maréchal de France : ","Bourgain-Desfeuilles (général). Commandant d'une brigade d'infanterie du ",2
"*Bazaine (maréchal). Maréchal de France : ","Delaherche (Jules). Fabricant de drap à Sedan. Époux de Gilberte de Vi-neuil : ",4
"*Bazaine (maréchal). Maréchal de France : ","*Ducrot (général). Com-J mandant du Ier corps d'ar-. mée : ",1
"*Bazaine (maréchal). Maréchal de France : ","Rose. Fille du concierge de la sous-préfe&ure, à Sedan : ",3
"*Bazaine (maréchal). Maréchal de France : ","*Lebrun (Barthélemy). Général, commandant du ",2
