"from","to","weight"
"*Alexandre II (l'Empereur). Tsar de Russie ","Brûlé (la). Veuve du ha-veur Brûlé. Mère de la Pier-ronne : ",1
"*Alexandre II (l'Empereur). Tsar de Russie ","Chaval. Haveur au Vo-reux, puis dans la mine de Deneulin. Amant de Catherine Maheu : ",1
"*Alexandre II (l'Empereur). Tsar de Russie ","Lantier (Etienne). Troisième fils de Gervaise Mac-quart et d'AuguSte Lantier: ",6
"*Alexandre II (l'Empereur). Tsar de Russie ","Levaque (Philomène) Fille des Levaque. Maîtresse, puis épouse de Zacharie Maheu. Mère d'Achille et de Désirée : ",1
"*Alexandre II (l'Empereur). Tsar de Russie ","Maheu (Catherine). Fille des Maheu (deuxième enfant). Maîtresse de Chaval : ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Maheu (Jeanlin). Fils des Maheu (troisième enfant) : ",1
"*Alexandre II (l'Empereur). Tsar de Russie ","Maheu (Zacharie). Aîné des Maheu. Amant, puis époux de Philomène Le-vaque. Père d'Achille et de Désirée : ",4
"*Alexandre II (l'Empereur). Tsar de Russie ","Mouquette (la). Hers-cheuse au Voreux. Fille de Mouque : ",1
"*Alexandre II (l'Empereur). Tsar de Russie ","Pierron (Lydie). Fille de Pierron et de la première femme de celui-ci : ",1
"*Alexandre II (l'Empereur). Tsar de Russie ","Rasseneur. Cabaretier à Montsou. — : ",5
"*Alexandre II (l'Empereur). Tsar de Russie ","Rasseneur (Mme). Epouse du précédent. — : ",3
"*Alexandre II (l'Empereur). Tsar de Russie ","Souvarine. Ancien nihiliste russe. Machineur au Voreux (mines de Montsou) : ",6
"*Alexandre II (l'Empereur). Tsar de Russie ","Annouchka. Maîtresse de Souvarine, en Russie. — : ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","*Bakounine (Michel). Théoricien russe de l'anarchie : ",1
"*Alexandre II (l'Empereur). Tsar de Russie ","Désir (veuve). Tient le bal du Bon-Joyeux : ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Pluchart. Secrétaire de la Fédération du Nord deT Association Internationale des Travailleurs : ",3
"*Alexandre II (l'Empereur). Tsar de Russie ","Mouquet. Moulineur au Voreux. Fils du précédent : ",1
"Annouchka. Maîtresse de Souvarine, en Russie. — : ","*Bakounine (Michel). Théoricien russe de l'anarchie : ",1
"Annouchka. Maîtresse de Souvarine, en Russie. — : ","Désir (veuve). Tient le bal du Bon-Joyeux : ",2
"Annouchka. Maîtresse de Souvarine, en Russie. — : ","Lantier (Etienne). Troisième fils de Gervaise Mac-quart et d'AuguSte Lantier: ",7
"Annouchka. Maîtresse de Souvarine, en Russie. — : ","Souvarine. Ancien nihiliste russe. Machineur au Voreux (mines de Montsou) : ",6
"Annouchka. Maîtresse de Souvarine, en Russie. — : ","*Darwin (Charles). Biologiste anglais : ",1
"Annouchka. Maîtresse de Souvarine, en Russie. — : ","Maheu (Zacharie). Aîné des Maheu. Amant, puis époux de Philomène Le-vaque. Père d'Achille et de Désirée : ",6
"Annouchka. Maîtresse de Souvarine, en Russie. — : ","Pluchart. Secrétaire de la Fédération du Nord deT Association Internationale des Travailleurs : ",2
"Annouchka. Maîtresse de Souvarine, en Russie. — : ","Dansaert. Maître-po-rion : ",2
"Annouchka. Maîtresse de Souvarine, en Russie. — : ","Maheu (Catherine). Fille des Maheu (deuxième enfant). Maîtresse de Chaval : ",2
