"from","to","weight"
"Amélie. Ancienne maîtresse de Du Poizat : ","Charbonnel. Protégé d'Eugène Rougon. Ancien marchand d'huile à Plassans : ",2
"Amélie. Ancienne maîtresse de Du Poizat : ","Charbonnel (Mme). Épouse du précédent : ",2
"Amélie. Ancienne maîtresse de Du Poizat : ","Correur (Mélanie). Née Martineau. Vieille amie et protégée d'Eugène Rougon : ",2
"Amélie. Ancienne maîtresse de Du Poizat : ","Du Poizat (Léopold). Fils | [• du précédent. Protégé d'Eugène Rougon. Devient préfet des Deux-Sèvres : ",2
"Amélie. Ancienne maîtresse de Du Poizat : ","Gilquin (Théodore). Ami et protégé d'Eugène Rougon. Indicateur de police : ",2
"Amélie. Ancienne maîtresse de Du Poizat : ","Rougon (Eugène). Fils de Pierre Rougon et de Félicité Puech. Avocat. Agent secret de Louis - Napoléon Bonaparte: ",2
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","Balbi (comtesse Lenora). Intrigante italienne : ",9
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","Balbi (Clorinde). Fille de la précédente. Intrigante italienne. Épouse DeleStang : ",22
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","Delestang. Conseiller d'État. Épouse Clorinde Balbi. Remplace Eugène Rougon au ministère de l'In-térieur : ",14
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","Rougon (Eugène). Fils de Pierre Rougon et de Félicité Puech. Avocat. Agent secret de Louis - Napoléon Bonaparte: ",22
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","Sanquirino (duchesse). Aristocrate italienne : ",1
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","Kahn. Député des Deux-Sèvres, protégé d'Eugène Rougon : ",12
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","Pozzo (Luigi). Secrétaire de la légation d'Italie : ",8
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","Du Poizat (Léopold). Fils | [• du précédent. Protégé d'Eugène Rougon. Devient préfet des Deux-Sèvres : ",2
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","*Bonaparte (Louis-Napoléon). Empereur sous le nom de Napoléon III : ",2
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","*Eugénie (impératrice); Épouse de Napoléon III. A : ",1
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","Llorentz (Mme de). Sœur de La Rouquette. Veuve d'un général. Maîtresse de de Marsy : ",1
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","Plouguern (de). Sénateur. Ancien amant de la comtesse Balbi: ",4
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","Reuthlinguer (de). Banquier à Paris : ",3
"Antonia. Femme de chambre italienne de Clo-rinde Balbi : ","Béjuin (Léon). Député. Protégé d'Eugène Rougon : ",7
