"from","to","weight"
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Chanteau. Père de Lazare Chanteau. Cousin de Quenu. Tuteur de Pauline Quenu. Ancien commerçant de bois : ",4
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Chanteau (Eugénie). Née Eugénie de la Vignière. Épouse du précédent : ",4
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Chanteau (Lazare). Fils des précédents. Cousin de Pauline Quenu. Épouse Louise Thibaudier : ",4
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Gradelle. Frère de Mme Quenu mère. Oncle de Florent et de Quenu. Charcutier : ",2
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Quenu. Fils de Quenu et de Mme Quenu, née Gradelle. Époux de Lise Mac-quart. Père de Pauline Quenu : ",4
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Quenu (Lisa). Fille d'Antoine Macquart et de Joséphine Gavaudan. Sœur de Gervaise et de Jean Macquart. Épouse de Quenu. Mère de Pauline Quenu : ",2
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Quenu (Pauline). Fille de Quenu et de Lisa Macquart : ",4
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Véronique. Servante des Chanteau : ",3
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Delorme. Parent des  Quenu : ",3
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Lantier (Claude). Premier fils de Gervaise Macquart et d'AuguSte Lantier. Frère d'Étienne et de Jacques Lantier: ",3
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Liardin. Parent des Que-nu : ",3
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Mouret (Octave). Fils aîné de François Mouret et de Marthe Rougon. Frère de Serge et de Désirée. Époux de Caroline Hédouin, puis de Denise Baudu : ",3
"Adèle. Demoiselle de boutique de la charcuterie Quenu : ","Naudet. Cousin des Que-nu : ",3
