"from","to","weight"
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ",93
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Baudu (Jean). Frère de Denise. Employé chez un ivoirier : ",49
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Baudu (Pépé). Le plus jeune frère de Denise : ",53
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Bourras. Boutiquier : ",64
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Cornaille. Premier patron de Denise Baudu. Marchand de nouveautés à Va-logne : ",9
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Duvillard. Possesseur d'un hôtel particulier : ",7
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Baudu (Élisabeth). Fille de Hauchecorne. Épouse de Baudu : ",59
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Hauchecorne. Époux de Désirée Finet, père d'Élisabeth Baudu. Premier commis, puis patron du Vieil Elbeuf : ",8
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Baudu (Geneviève). Fille des Baudu. Promise au commis Colomban : ",65
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Colomban. Fils du précédent. Premier commis au Vieil Elbeuf, chez Baudu. Promis à Geneviève Baudu. i Amant de Clara Prunaire : ",44
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Gras (Mme). Vieille dame qui prend des enfants en pension : ",11
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Vinçard. Marchand de soieries : ",5
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Colomban (père). Vétérinaire : ",4
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Finet (Aristide). Père de Désirée Hauchecorne. Fondateur du Vieil Elbeuf : ",6
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Hauchecorne (Désirée). Fille d'Aristide Finet. Épouse de Hauchecorne, mère d'Élisabeth Hauchecorne. — : ",2
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Hédouin (Caroline). Fille de Delcuze aîné. Épouse, puis veuve de Charles Hédouin. Épouse d'Oétave Mouret: ",5
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Bourdoncle. Un des « intéressés , du Bonheur des Dames : ",18
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Frédéric (Mme). Seconde à la confe&ion, au Bonheur des Dames : ",6
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Lhomme (Mme Aurélie). Épouse du précédent. Première du rayon de confe&ion au Bonheur des Dames : ",20
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Mouret (Octave). Fils aîné de François Mouret et de Marthe Rougon. Frère de Serge et de Désirée. Époux de Caroline Hédouin, puis de Denise Baudu : ",57
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Prunaire (Clara). Fille du précédent. Vendeuse au Bonheur des Dames. Maîtresse d'O&ave Mouret, de Colomban, etc : ",39
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Vadon (Marguerite). Vendeuse au Bonheur des Dames : ",14
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Hutin. Vendeur au Bonheur des Dames : ",8
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Jouve: Inspecteur au Bonheur des Dames : ",8
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Bourdelais (Mme). Épouse du précédent. Amie de Mme Desforges. Cliente du Bonheur des Dames : ",4
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Boves (comtesse de). Épouse du précédent. Cliente du Bonheur des Dames : ",4
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Boves (Blanche de). Fille des de Boves. Épouse Paul de Vallagnosc : ",1
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Desforges (Henriette). Veuve d'un homme de Bourse. Maîtresse du baron Hartmann : ",11
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Guibal (Mme). Épouse du précédent. Maîtresse du comte de Boves. Cliente du Bonheur des Dames : ",1
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Hartmann (baron). Vieil ami d'Henriette Desfôrges. Dire&eur du Crédit Immobilier : ",7
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Marty (Mme). Épouse du précédent. Cliente du Bonheur des Dames : ",4
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Vallagnosc (Paul de). Ancien camarade de collège d'O&ave Mouret. Employé au ministère de l'Intérieur : ",1
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Boutarel (Mme). Épouse du précédent. Cliente du Bonheur des Dames : ",2
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Deloche (Henri). Fils d'un huissier de Briquebec. Vendeur au Bonheur des Dames : ",8
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Lhomme. Caissier principal au Bonheur des Dames : ",8
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Baugé. Vendeur au Bon Marché. Épouse Pauline Cugnot : ",5
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Cugnot (Paulin . Fille du précédent. Vendeuse au Bonheur des Dames. Maîtresse, puis épouse de Baugé : ",12
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Prunaire. Sabotier des bois de Vivet. Père de Clara Prunaire : ",1
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Lhomme (Albert). Fils des précédents. Caissier au Bonheur des Dames : ",6
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Liénard. Vendeur au Bonheur des Dames : ",2
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Mignot. Vendeur au Bonheur des Dames : ",2
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Gaujean. Fabricant de soieries à Lyon : ",8
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Robineau. Second de la soie au Bonheur des Dames. Achète le fonds de Vinçard : ",22
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Deslignières. Bimbelo-tier de la rue Saint-Roch : ",8
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Bédoré et Sœur. Bonnetiers : ",10
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Quinette. Gantier : ",6
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Tatin (Mlle). Lingère : ",6
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Vanpouille (frères). Fourreurs : ",10
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Matignon (les). Marchands de draps de la rue Croix-des-Petits-Champs : ",2
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Piot. De la maison Piot et Ri voire. Marchands de meubles du passage Sainte-Anne : ",8
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Rivoire. Associé de la maison Plot et Rivoire : ",8
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Robineau (Mme). Épouse du précédent : ",7
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Cabin (Mme). Employée au Bonheur des Dames : ",2
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Fontenailles (Mlle de). Orpheline noble. Employée au Bonheur des Dames. Épouse Joseph, le garçon de magasin : ",2
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Joseph. Garçon de magasin au Bonheur des Dames. Épouse Mlle de Fontenailles : ",2
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Bouthemont. Fils du précédent. Premier vendeur au Bonheur des Dames, puis fondateur des Quatre-Saisons : ",2
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Vigouroux. Marchand de marrons : ",2
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Chadeuil (Mme). Modiste : ",4
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Grognet. Parfumeur : ",4
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Lacassagne. Marchand de plumes et fleurs. — : ",4
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Naud. Cordonnier de la rue d'Antin : ",4
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Baudu (Thérèse). Femme de Jean Baudu : ",2
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Ernestine. Locataire de Bourras : ",3
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Vabre (AuguSte). Fils aîné de Vabre. Marchand de soieries. Époux de Berthe Josse-rand : ",1
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Vabre (Berthe). Fille cadette des Josserand. Épouse du précédent. Maîtresse d'O&ave Mouret : ",1
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Favier. Vendeur au Bonheur des Dames : ",2
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Crasse (la). P and de dentelles : ",1
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","*Chopin (Frédéric). Compositeur polonais : ",1
"Baudu. Époux d'Élisabeth Hauchecorne. Père de Geneviève. Oncle de Denise, Jean et Pépé Baudu. Propriétaire du Vieil Elbeuf : ","Powell (miss). Seconde des corsets, au Bonheur des Dames: ",1
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Baudu (Jean). Frère de Denise. Employé chez un ivoirier : ",104
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Baudu (Pépé). Le plus jeune frère de Denise : ",106
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Bourras. Boutiquier : ",165
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Cornaille. Premier patron de Denise Baudu. Marchand de nouveautés à Va-logne : ",12
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Duvillard. Possesseur d'un hôtel particulier : ",9
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Baudu (Élisabeth). Fille de Hauchecorne. Épouse de Baudu : ",66
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Hauchecorne. Époux de Désirée Finet, père d'Élisabeth Baudu. Premier commis, puis patron du Vieil Elbeuf : ",6
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Baudu (Geneviève). Fille des Baudu. Promise au commis Colomban : ",70
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Colomban. Fils du précédent. Premier commis au Vieil Elbeuf, chez Baudu. Promis à Geneviève Baudu. i Amant de Clara Prunaire : ",48
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Gras (Mme). Vieille dame qui prend des enfants en pension : ",18
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Vinçard. Marchand de soieries : ",20
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Colomban (père). Vétérinaire : ",4
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Finet (Aristide). Père de Désirée Hauchecorne. Fondateur du Vieil Elbeuf : ",4
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Hauchecorne (Désirée). Fille d'Aristide Finet. Épouse de Hauchecorne, mère d'Élisabeth Hauchecorne. — : ",2
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Hédouin (Caroline). Fille de Delcuze aîné. Épouse, puis veuve de Charles Hédouin. Épouse d'Oétave Mouret: ",25
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Bourdoncle. Un des « intéressés , du Bonheur des Dames : ",111
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Frédéric (Mme). Seconde à la confe&ion, au Bonheur des Dames : ",29
"Baudu (Denise). Nièce de I Baudu. Sœur de Jean et de | Pépé. Employée au Bonheur -des Dames. Épouse d'Oétave Mouret. + : ","Lhomme (Mme Aurélie). Épouse du précédent. Première du rayon de confe&ion au Bonheur des Dames : ",92
