"from","to","weight"
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Jeanbernat. Frère de lait du comte de Corbière. Oncle d'Albinè. Intendant du Pa-radou : ",36
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Mouret (Désirée). Fille de François Mouret et de Marthe Rougon. Sœur d'Oc-tave et de Serge Mouret : ",37
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Mouret (Serge). Deuxième fils de François Mouret et de Marthe Rougon. Frère d'Oo tave et de Désirée Mouret : ",201
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Rougon (Pascal). Second fils de Pierre Rougon et de Félicité Puech. Médecin à Plassans : ",29
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Teuse (la). Vieille servante de l'abbé Cafïin, puis de l'abbé Mouret : ",32
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Archangias (Frère). Frère des écoles chrétiennes : ",28
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Artaud (les). Paysans des--Artaud : ",3
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Bambousse (Rosalie). Fille aînée du précédent. Épouse Fortuné Brichet: ",15
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Caffin (abbé). Prédécesseur de l'abbé Mouret à la cure des Artaud : ",15
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Bambousse (Artaud, dit). Cultivateur. Maire des Artaud : ",6
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Bambousse (Catherine). Fille cadette de Bambousse : ",8
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Brichet (Artaud, dit). Vieux paysan des Artaud : ",5
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Brichet (la mère). Épouse du précédent : ",10
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Brichet (Fortuné). Fils aîné des Brichet. Épouse Rosalie Bambousse : ",12
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Brichet (Vincent). Second fils des Brichet : ",10
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Guyot (abbé). Prêtre à Saint-Eutrope : ",2
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Son enfant : ",6
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","*Holbach (baron d'). Philosophe français du xvme siècle : ",2
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Lisa. Jeune paysanne des Artaud : ",5
"Albine. Nièce de Jean-bernat. Amante de Serge Mouret: ","Rousse (la). Jeune paysanne des Artaud: ",5
"Archangias (Frère). Frère des écoles chrétiennes : ","Artaud (les). Paysans des--Artaud : ",12
"Archangias (Frère). Frère des écoles chrétiennes : ","Bambousse (Rosalie). Fille aînée du précédent. Épouse Fortuné Brichet: ",17
"Archangias (Frère). Frère des écoles chrétiennes : ","Mouret (Désirée). Fille de François Mouret et de Marthe Rougon. Sœur d'Oc-tave et de Serge Mouret : ",30
"Archangias (Frère). Frère des écoles chrétiennes : ","Mouret (Serge). Deuxième fils de François Mouret et de Marthe Rougon. Frère d'Oo tave et de Désirée Mouret : ",57
"Archangias (Frère). Frère des écoles chrétiennes : ","Teuse (la). Vieille servante de l'abbé Cafïin, puis de l'abbé Mouret : ",34
"Archangias (Frère). Frère des écoles chrétiennes : ","Caffin (abbé). Prédécesseur de l'abbé Mouret à la cure des Artaud : ",12
