"from","to","weight"
"*Alexandre II (l'Empereur). Tsar de Russie ","*Bonaparte (Napoléon). Empereur sous le nom de Napoléon Ier : ",3
"*Alexandre II (l'Empereur). Tsar de Russie ","*César. Consul romain: ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","*Charlemagne (l'empereur) : ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Hamelin (Caroline). Sœur de Georges Hamelin. Épouse de Durieu. Intendante d'Aristide Saccard : ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Hamelin (Georges). Frère de Caroline Hamelin. Fils d'un médecin de Montpellier. Ingénieur. Président du conseil d'administration de la Banque Universelle : ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","Saccard (Aristide). Aristide Rougon, dit Saccard. Fils de Pierre Rougon et de Félicité Puech. Époux d'Angèle Sicardot. Père de Maxime et Clotilde Rougôn. —: ",4
"*Alexandre II (l'Empereur). Tsar de Russie ","*Sidney (général). Général anglais, adversaire de Bonapatte : ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","*Bismarck (Otto de). Homme d'État prussien ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","*Bonaparte (Louis-Napoléon). Empereur sous le nom de Napoléon III : ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","*Maximilien (empereur). Empereur du Mexique : ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","*Pape (le). Pie IX, pape de ",3
"*Alexandre II (l'Empereur). Tsar de Russie ","*Sultan (le). Sultan de Turquie : ",2
"*Alexandre II (l'Empereur). Tsar de Russie ","*Chambord (comte de). Prétendant au trône de France. Appelé Henri V par les monarchistes : ",1
"*Alexandre II (l'Empereur). Tsar de Russie ","Gundermann. Banquier : ",1
"*Alexandre II (l'Empereur). Tsar de Russie ","Huret. Député au Corps législatif : ",1
"*Alexandre II (l'Empereur). Tsar de Russie ","Jantrou. Ancien professeur. RédaCteur en chef de l'Elpérance, journal de Saccard : ",1
